,merged_reaction,reaction_type,reaction_notes,merged_ids,reaction_IDs
13,1 H2O [cytosol] + 1 PA <=> 1 LPA + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-1500590 <=> R-ALL-1500580 + R-ALL-1524103,R-BTA-1482604;R-CFA-1482604;R-DDI-1482604;R-DRE-1482604;R-GGA-1482604;R-HSA-1482604;R-MMU-1482604;R-RNO-1482604;R-SCE-1482604;R-SPO-1482604;R-SSC-1482604;R-XTR-1482604
14,1 H2O [cytosol] + 1 LPC <=> 1 ACoA + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-975614 <=> R-ALL-1498750 + R-ALL-1524021,R-BTA-1482612;R-CFA-1482612;R-DDI-1482612;R-DDI-1482629;R-DRE-1482612;R-GGA-1482612;R-HSA-1482612;R-HSA-1482629;R-MMU-1482612;R-MMU-1482629;R-RNO-1482612;R-RNO-1482629;R-SCE-1482612;R-SCE-1482629;R-SPO-1482612;R-SPO-1482629;R-SSC-1482612;R-XTR-1482612
15,1 LPI + 1 ACoA <=> 1 PI + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1498737 + R-ALL-1500578 <=> R-ALL-426639 + R-ALL-76194,R-BTA-1482626;R-CEL-1482626;R-CFA-1482626;R-DDI-1482626;R-DME-1482626;R-DRE-1482626;R-HSA-1482626;R-MMU-1482626;R-RNO-1482626;R-SCE-1482626;R-SPO-1482626;R-SSC-1482626;R-XTR-1482626
16,1 LPG + 1 ACoA <=> 1 PG + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1498730 + R-ALL-1500578 <=> R-ALL-1483256 + R-ALL-76194,R-BTA-1482635;R-CEL-1482635;R-CFA-1482635;R-DDI-1482635;R-DME-1482635;R-DRE-1482635;R-GGA-1482635;R-HSA-1482635;R-MMU-1482635;R-PFA-1482635;R-RNO-1482635;R-SCE-1482635;R-SPO-1482635;R-SSC-1482635;R-XTR-1482635
17,1 ACoA + 1 LPS <=> 1 CoA-SH [cytosol] + 1 PS,L_FAdelete,,R-ALL-1500578 + R-ALL-1498724 <=> R-ALL-76194 + R-ALL-1500646,R-BTA-1482636;R-CEL-1482636;R-CFA-1482636;R-DDI-1482636;R-DME-1482636;R-DRE-1482636;R-GGA-1482636;R-HSA-1482636;R-MMU-1482636;R-PFA-1482636;R-RNO-1482636;R-SCE-1482636;R-SPO-1482636;R-SSC-1482636;R-XTR-1482636
18,1 LPE + 1 ACoA <=> 1 CoA-SH [cytosol] + 1 PE,L_FAdelete,,R-ALL-1498729 + R-ALL-1500578 <=> R-ALL-76194 + R-ALL-1500581,R-BTA-1482646;R-CEL-1482646;R-CFA-1482646;R-DDI-1482646;R-DME-1482646;R-DRE-1482646;R-GGA-1482646;R-HSA-1482646;R-MMU-1482646;R-PFA-1482646;R-RNO-1482646;R-SCE-1482646;R-SPO-1482646;R-SSC-1482646;R-XTR-1482646
19,1 MAG + 1 DAG <=> 1 Glycerol [cytosol] + 1 TAG,L_FAdelete,"2,1",R-ALL-1498728 + R-ALL-1500596 <=> R-ALL-76116 + R-ALL-1500594,R-BTA-1482647;R-CEL-1482647;R-CFA-1482647;R-DME-1482647;R-DRE-1482647;R-GGA-1482647;R-HSA-1482647;R-MMU-1482647;R-PFA-1482647;R-RNO-1482647;R-SSC-1482647;R-XTR-1482647
20,2 MAG <=> 1 Glycerol [cytosol] + 1 DAG,L_FAdelete,"2,1",R-ALL-1498728 <=> R-ALL-76116 + R-ALL-1500596,R-BTA-1482654;R-CEL-1482654;R-CFA-1482654;R-DME-1482654;R-DRE-1482654;R-GGA-1482654;R-HSA-1482654;R-MMU-1482654;R-PFA-1482654;R-RNO-1482654;R-SSC-1482654;R-XTR-1482654
21,1 H2O [cytosol] + 1 PA <=> 1 LPA + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-426755 <=> R-ALL-1500604 + R-ALL-1524021,R-BTA-1482656;R-BTA-1482679;R-CFA-1482656;R-DDI-1482656;R-DRE-1482656;R-DRE-1482679;R-GGA-1482656;R-GGA-1482679;R-HSA-1482656;R-HSA-1482679;R-MMU-1482656;R-MMU-1482679;R-RNO-1482656;R-RNO-1482679;R-SCE-1482656;R-SPO-1482656;R-SSC-1482656;R-SSC-1482679;R-XTR-1482656;R-XTR-1482679
22,1 ACoA + 1 LPE <=> 1 CoA-SH [cytosol] + 1 PE,L_FAdelete,,R-ALL-1500578 + R-ALL-1498738 <=> R-ALL-76194 + R-ALL-1500581,R-BTA-1482667;R-CEL-1482667;R-CFA-1482667;R-DDI-1482667;R-DME-1482667;R-DRE-1482667;R-GGA-1482667;R-HSA-1482667;R-MMU-1482667;R-PFA-1482667;R-RNO-1482667;R-SCE-1482667;R-SPO-1482667;R-SSC-1482667;R-XTR-1482667
23,1 H2O [cytosol] + 1 LPC <=> 1 ACoA + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-1524028 <=> R-ALL-1498750 + R-ALL-1524021,R-BTA-1482685;R-CFA-1482685;R-DDI-1482685;R-DDI-1482696;R-DRE-1482685;R-GGA-1482685;R-HSA-1482685;R-HSA-1482696;R-MMU-1482685;R-MMU-1482696;R-RNO-1482685;R-RNO-1482696;R-SCE-1482685;R-SCE-1482696;R-SPO-1482685;R-SPO-1482696;R-SSC-1482685;R-XTR-1482685
24,1 LPG + 1 ACoA <=> 1 CoA-SH [mitochondrial matrix] + 1 PG,L_FAdelete,,R-ALL-1524027 + R-ALL-1524038 <=> R-ALL-29374 + R-ALL-1524042,R-BTA-1482689;R-CEL-1482689;R-CFA-1482689;R-DME-1482689;R-DRE-1482689;R-GGA-1482689;R-HSA-1482689;R-MMU-1482689;R-RNO-1482689;R-SCE-1482689;R-SPO-1482689;R-SSC-1482689;R-XTR-1482689
25,1 ACoA + 1 LPS <=> 1 CoA-SH [cytosol] + 1 PS,L_FAdelete,,R-ALL-1500578 + R-ALL-1498722 <=> R-ALL-76194 + R-ALL-1500646,R-BTA-1482691;R-CEL-1482691;R-CFA-1482691;R-DDI-1482691;R-DME-1482691;R-DRE-1482691;R-GGA-1482691;R-HSA-1482691;R-MMU-1482691;R-PFA-1482691;R-RNO-1482691;R-SCE-1482691;R-SPO-1482691;R-SSC-1482691;R-XTR-1482691
26,1 ACoA + 1 G3P [cytosol] <=> 1 CoA-SH [cytosol] + 1 LPA,L_FAdelete,,R-ALL-1500578 + R-ALL-76114 <=> R-ALL-76194 + R-ALL-1500580,R-BTA-1482695;R-CEL-1482695;R-CFA-1482695;R-DME-1482695;R-DRE-1482695;R-GGA-1482695;R-HSA-1482695;R-MMU-1482695;R-RNO-1482695;R-SSC-1482695;R-XTR-1482695
27,1 PG + 1 H2O [mitochondrial matrix] <=> 1 LPG + 1 LCB,L_FAdelete,,R-ALL-1524042 + R-ALL-113521 <=> R-ALL-1524027 + R-ALL-1524085,R-BTA-1482745;R-CFA-1482745;R-DDI-1482745;R-DRE-1482745;R-GGA-1482745;R-HSA-1482745;R-MMU-1482745;R-RNO-1482745;R-SCE-1482745;R-SPO-1482745;R-SSC-1482745;R-XTR-1482745
28,1 H2O [cytosol] + 1 PS <=> 1 LCB + 1 LPS,L_FAdelete,,R-ALL-29356 + R-ALL-1500646 <=> R-ALL-1524021 + R-ALL-1498724,R-BTA-1482771;R-BTA-1482776;R-CFA-1482771;R-DDI-1482771;R-DRE-1482771;R-DRE-1482776;R-GGA-1482771;R-GGA-1482776;R-HSA-1482771;R-HSA-1482776;R-MMU-1482771;R-MMU-1482776;R-RNO-1482771;R-RNO-1482776;R-SCE-1482771;R-SPO-1482771;R-SSC-1482771;R-SSC-1482776;R-XTR-1482771;R-XTR-1482776
29,1 H2O [cytosol] + 1 TAG <=> 1 LCB + 1 DAG,L_FAdelete,,R-ALL-29356 + R-ALL-1500594 <=> R-ALL-1524021 + R-ALL-1500596,R-BTA-1482777;R-CEL-1482777;R-CFA-1482777;R-DME-1482777;R-DRE-1482777;R-GGA-1482777;R-HSA-1482777;R-MMU-1482777;R-PFA-1482777;R-RNO-1482777;R-SSC-1482777;R-XTR-1482777
30,1 PC + 1 MLCL <=> 1 CL + 1 LPC,L_FAdelete,"2,2",R-ALL-1524075 + R-ALL-1498773 <=> R-ALL-1524072 + R-ALL-1524079,R-BTA-1482781;R-CEL-1482781;R-CFA-1482781;R-DDI-1482781;R-DME-1482781;R-DRE-1482781;R-GGA-1482781;R-HSA-1482781;R-MMU-1482781;R-RNO-1482781;R-SCE-1482781;R-SSC-1482781;R-XTR-1482781
31,1 CL + 1 LPC <=> 1 PC + 1 MLCL,L_FAdelete,"2,2",R-ALL-1524072 + R-ALL-1524079 <=> R-ALL-1524075 + R-ALL-1498773,R-BTA-1482794;R-CEL-1482794;R-CFA-1482794;R-DDI-1482794;R-DME-1482794;R-DRE-1482794;R-GGA-1482794;R-HSA-1482794;R-MMU-1482794;R-RNO-1482794;R-SCE-1482794;R-SSC-1482794;R-XTR-1482794
32,1 H2O [cytosol] + 1 DAG <=> 1 MAG + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-1500596 <=> R-ALL-1498728 + R-ALL-1524021,R-BTA-1482811;R-CEL-1482811;R-CFA-1482811;R-DME-1482811;R-DRE-1482811;R-GGA-1482811;R-HSA-1482811;R-MMU-1482811;R-PFA-1482811;R-RNO-1482811;R-SSC-1482811;R-XTR-1482811
33,1 H2O [cytosol] + 1 PC <=> 1 LPC + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-426925 <=> R-ALL-1524028 + R-ALL-1524021,R-BTA-1482816;R-BTA-1482856;R-CEL-1482816;R-CEL-1482856;R-CFA-1482816;R-CFA-1482856;R-DDI-1482816;R-DDI-1482856;R-DME-1482856;R-DRE-1482816;R-DRE-1482856;R-GGA-1482816;R-GGA-1482856;R-HSA-1482816;R-HSA-1482856;R-MMU-1482816;R-MMU-1482856;R-PFA-1482816;R-RNO-1482816;R-RNO-1482856;R-SCE-1482816;R-SCE-1482856;R-SPO-1482816;R-SPO-1482856;R-SSC-1482816;R-SSC-1482856;R-XTR-1482816;R-XTR-1482856
34,1 H2O [cytosol] + 1 PI <=> 1 LPI + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-426639 <=> R-ALL-1498733 + R-ALL-1524021,R-BTA-1482825;R-BTA-1482868;R-CFA-1482825;R-DDI-1482825;R-DDI-1482868;R-DRE-1482825;R-DRE-1482868;R-GGA-1482825;R-GGA-1482868;R-HSA-1482825;R-HSA-1482868;R-MMU-1482825;R-MMU-1482868;R-RNO-1482825;R-RNO-1482868;R-SCE-1482825;R-SCE-1482868;R-SPO-1482825;R-SPO-1482868;R-SSC-1482825;R-SSC-1482868;R-XTR-1482825;R-XTR-1482868
35,1 H2O [cytosol] + 1 PE <=> 1 LPE + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-1500581 <=> R-ALL-1498729 + R-ALL-1524021,R-BTA-1482828;R-CFA-1482828;R-DDI-1482828;R-DDI-1482892;R-DRE-1482828;R-GGA-1482828;R-HSA-1482828;R-HSA-1482892;R-MMU-1482828;R-MMU-1482892;R-RNO-1482828;R-RNO-1482892;R-SCE-1482828;R-SCE-1482892;R-SPO-1482828;R-SPO-1482892;R-SSC-1482828;R-XTR-1482828
36,1 PG + 1 H2O [mitochondrial matrix] <=> 1 LPG + 1 LCB,L_FAdelete,,R-ALL-1524042 + R-ALL-113521 <=> R-ALL-1524047 + R-ALL-1524085,R-BTA-1482847;R-CFA-1482847;R-DDI-1482847;R-DRE-1482847;R-GGA-1482847;R-HSA-1482847;R-MMU-1482847;R-RNO-1482847;R-SCE-1482847;R-SPO-1482847;R-SSC-1482847;R-XTR-1482847
37,1 PE + 1 MLCL <=> 1 CL + 1 LPE,L_FAdelete,"2,2",R-ALL-1524083 + R-ALL-1498773 <=> R-ALL-1524072 + R-ALL-1524089,R-BTA-1482850;R-CEL-1482850;R-CFA-1482850;R-DDI-1482850;R-DME-1482850;R-DRE-1482850;R-GGA-1482850;R-HSA-1482850;R-MMU-1482850;R-RNO-1482850;R-SCE-1482850;R-SSC-1482850;R-XTR-1482850
38,1 ACoA + 1 MLCL <=> 1 CL + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1500578 + R-ALL-1524069 <=> R-ALL-1524081 + R-ALL-76194,R-BTA-1482861;R-CEL-1482861;R-CFA-1482861;R-DDI-1482861;R-DRE-1482861;R-GGA-1482861;R-HSA-1482861;R-MMU-1482861;R-RNO-1482861;R-SCE-1482861;R-SPO-1482861;R-SSC-1482861;R-XTR-1482861
39,1 H2O [cytosol] + 1 PC <=> 1 LCB + 1 LPC,L_FAdelete,,R-ALL-29356 + R-ALL-426925 <=> R-ALL-1524021 + R-ALL-975614,R-BTA-1482862;R-CFA-1482862;R-DDI-1482827;R-DDI-1482862;R-DRE-1482862;R-GGA-1482862;R-HSA-1482827;R-HSA-1482862;R-MMU-1482827;R-MMU-1482862;R-RNO-1482827;R-RNO-1482862;R-SCE-1482827;R-SCE-1482862;R-SPO-1482827;R-SPO-1482862;R-SSC-1482862;R-XTR-1482862
40,1 DLCL + 1 ACoA <=> 1 CoA-SH [cytosol] + 1 MLCL,L_FAdelete,,R-ALL-1524080 + R-ALL-1500578 <=> R-ALL-76194 + R-ALL-1524069,R-BTA-1482867;R-CEL-1482867;R-CFA-1482867;R-DDI-1482867;R-DRE-1482867;R-GGA-1482867;R-HSA-1482867;R-MMU-1482867;R-RNO-1482867;R-SCE-1482867;R-SPO-1482867;R-SSC-1482867;R-XTR-1482867
41,1 H2O [cytosol] + 1 PE <=> 1 LPE + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-1500581 <=> R-ALL-1498738 + R-ALL-1524021,R-BTA-1482884;R-BTA-1482887;R-CEL-1482884;R-CEL-1482887;R-CFA-1482884;R-CFA-1482887;R-DDI-1482884;R-DDI-1482887;R-DME-1482884;R-DRE-1482884;R-DRE-1482887;R-GGA-1482884;R-GGA-1482887;R-HSA-1482884;R-HSA-1482887;R-MMU-1482884;R-MMU-1482887;R-PFA-1482887;R-RNO-1482884;R-RNO-1482887;R-SCE-1482884;R-SPO-1482884;R-SSC-1482884;R-SSC-1482887;R-XTR-1482884;R-XTR-1482887
42,1 ACoA + 1 DAG <=> 1 TAG + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1500578 + R-ALL-1500596 <=> R-ALL-1500594 + R-ALL-76194,R-BTA-1482889;R-BTA-8848580;R-CEL-1482889;R-CEL-8848580;R-CFA-1482889;R-CFA-8848580;R-DDI-1482889;R-DDI-8848580;R-DME-1482889;R-DRE-1482889;R-DRE-8848580;R-GGA-1482889;R-GGA-8848580;R-HSA-1482889;R-HSA-8848580;R-MMU-1482889;R-MMU-8848580;R-PFA-1482889;R-RNO-1482889;R-RNO-8848580;R-SCE-1482889;R-SCE-8848580;R-SPO-1482889;R-SPO-8848580;R-SSC-1482889;R-SSC-8848580;R-XTR-1482889;R-XTR-8848580
43,1 CL + 1 LPE <=> 1 PE + 1 MLCL,L_FAdelete,,R-ALL-1524072 + R-ALL-1524089 <=> R-ALL-1524083 + R-ALL-1498773,R-BTA-1482894;R-CEL-1482894;R-CFA-1482894;R-DDI-1482894;R-DME-1482894;R-DRE-1482894;R-GGA-1482894;R-HSA-1482894;R-MMU-1482894;R-RNO-1482894;R-SCE-1482894;R-SSC-1482894;R-XTR-1482894
44,1 H2O [cytosol] + 1 PS <=> 1 LPS + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-1500646 <=> R-ALL-1498722 + R-ALL-1524021,R-BTA-1482897;R-CFA-1482897;R-DDI-1482897;R-DRE-1482897;R-GGA-1482897;R-HSA-1482897;R-MMU-1482897;R-RNO-1482897;R-SCE-1482897;R-SPO-1482897;R-SSC-1482897;R-XTR-1482897
45,1 PG + 1 H2O [cytosol] <=> 1 LCB + 1 LPG,L_FAdelete,,R-ALL-1483256 + R-ALL-29356 <=> R-ALL-1524021 + R-ALL-1498740,R-BTA-1482900;R-BTA-1482907;R-CFA-1482900;R-DDI-1482900;R-DRE-1482900;R-DRE-1482907;R-GGA-1482900;R-GGA-1482907;R-HSA-1482900;R-HSA-1482907;R-MMU-1482900;R-MMU-1482907;R-RNO-1482900;R-RNO-1482907;R-SCE-1482900;R-SPO-1482900;R-SSC-1482900;R-SSC-1482907;R-XTR-1482900;R-XTR-1482907
46,1 PG + 1 H2O [cytosol] <=> 1 LPG + 1 LCB,L_FAdelete,,R-ALL-1483256 + R-ALL-29356 <=> R-ALL-1498730 + R-ALL-1524021,R-BTA-1482920;R-CFA-1482920;R-DDI-1482920;R-DRE-1482920;R-GGA-1482920;R-HSA-1482920;R-MMU-1482920;R-RNO-1482920;R-SCE-1482920;R-SPO-1482920;R-SSC-1482920;R-XTR-1482920
47,1 H2O [cytosol] + 1 PI <=> 1 LPI + 1 LCB,L_FAdelete,,R-ALL-29356 + R-ALL-426639 <=> R-ALL-1498737 + R-ALL-1524021,R-BTA-1482932;R-CFA-1482932;R-DDI-1482932;R-DRE-1482932;R-GGA-1482932;R-HSA-1482932;R-MMU-1482932;R-RNO-1482932;R-SCE-1482932;R-SPO-1482932;R-SSC-1482932;R-XTR-1482932
48,1 CDP-ETA [cytosol] + 1 DAG <=> 1 PE + 1 CMP [cytosol],L_HGdelete,,R-ALL-1500603 + R-ALL-1500596 <=> R-ALL-1500581 + R-ALL-109395,R-BTA-1482962;R-CEL-1482962;R-CFA-1482962;R-DDI-1482962;R-DME-1482962;R-DRE-1482962;R-GGA-1482962;R-HSA-1482962;R-MMU-1482962;R-PFA-1482962;R-RNO-1482962;R-SCE-1482962;R-SPO-1482962;R-SSC-1482962;R-XTR-1482962
49,1 CDPDAG + 1 Ins [cytosol] <=> 1 PI + 1 CMP [cytosol],L_HGmodify,,R-ALL-426955 + R-ALL-426910 <=> R-ALL-426639 + R-ALL-109395,R-BTA-1482976;R-CEL-1482976;R-CFA-1482976;R-DDI-1482976;R-DME-1482976;R-DRE-1482976;R-HSA-1482976;R-MMU-1482976;R-PFA-1482976;R-RNO-1482976;R-SCE-1482976;R-SPO-1482976;R-SSC-1482976;R-XTR-1482976
50,1 Cho [cytosol] + 1 ATP [cytosol] <=> 1 ADP [cytosol] + 1 PCho [cytosol],,,R-ALL-264618 + R-ALL-113592 <=> R-ALL-29370 + R-ALL-1524071,R-BTA-1483004;R-CEL-1483004;R-CFA-1483004;R-DME-1483004;R-DRE-1483004;R-GGA-1483004;R-HSA-1483004;R-MMU-1483004;R-PFA-1483004;R-RNO-1483004;R-SCE-1483004;R-SPO-1483004;R-SSC-1483004;R-XTR-1483004
51,1 PG + 1 CDPDAG <=> 1 CL + 1 cytidine 5'-monophosphate [mitochondrial matrix],L_merge,"2,1",R-ALL-1524042 + R-ALL-1524064 <=> R-ALL-1524072 + R-ALL-1524067,R-BTA-1483063;R-CEL-1483063;R-CFA-1483063;R-DME-1483063;R-DRE-1483063;R-GGA-1483063;R-HSA-1483063;R-MMU-1483063;R-RNO-1483063;R-SCE-1483063;R-SPO-1483063;R-SSC-1483063;R-XTR-1483063
52,1 L-Ser [cytosol] + 1 PE <=> 1 ETA [cytosol] + 1 PS,L_HGmodify,,R-ALL-200736 + R-ALL-1500581 <=> R-ALL-1498751 + R-ALL-1500646,R-BTA-1483089;R-CFA-1483089;R-DDI-1483089;R-DRE-1483089;R-GGA-1483089;R-HSA-1483089;R-MMU-1483089;R-PFA-1483089;R-RNO-1483089;R-SSC-1483089
53,1 H2O [cytosol] + 1 PETA [cytosol] <=> 1 Pi [cytosol] + 1 ETA [cytosol],,,R-ALL-29356 + R-ALL-428686 <=> R-ALL-29372 + R-ALL-1498751,R-BTA-1483096;R-CFA-1483096;R-DME-1483096;R-DRE-1483096;R-GGA-1483096;R-HSA-1483096;R-MMU-1483096;R-RNO-1483096;R-SSC-1483096;R-XTR-1483096
54,1 CTP [cytosol] + 1 PA <=> 1 PPi [cytosol] + 1 CDPDAG,L_HGmodify,,R-ALL-110614 + R-ALL-426755 <=> R-ALL-111294 + R-ALL-426955,R-BTA-1483121;R-CEL-1483121;R-CFA-1483121;R-DDI-1483121;R-DME-1483121;R-DRE-1483121;R-GGA-1483121;R-HSA-1483121;R-MMU-1483121;R-PFA-1483121;R-RNO-1483121;R-SCE-1483121;R-SPO-1483121;R-SSC-1483121;R-XTR-1483121
55,1 H2O [cytosol] + 1 PCho [cytosol] <=> 1 Cho [cytosol] + 1 Pi [cytosol],,,R-ALL-29356 + R-ALL-1524071 <=> R-ALL-264618 + R-ALL-29372,R-BTA-1483159;R-CFA-1483159;R-DME-1483159;R-DRE-1483159;R-GGA-1483159;R-HSA-1483159;R-MMU-1483159;R-RNO-1483159;R-SSC-1483159;R-XTR-1483159
56,1 PA + 1 CTP [mitochondrial matrix] <=> 1 PPi [mitochondrial matrix] + 1 CDPDAG,L_HGmodify,,R-ALL-1524101 + R-ALL-110577 <=> R-ALL-159450 + R-ALL-1524064,R-BTA-1483165;R-CEL-1483165;R-CFA-1483165;R-DDI-1483165;R-DME-1483165;R-DRE-1483165;R-GGA-1483165;R-HSA-1483165;R-MMU-1483165;R-PFA-1483165;R-RNO-1483165;R-SCE-1483165;R-SPO-1483165;R-SSC-1483165;R-XTR-1483165
57,1 H2O [cytosol] + 1 PC <=> 1 Cho [cytosol] + 1 PA,L_HGmodify,,R-ALL-29356 + R-ALL-426925 <=> R-ALL-264618 + R-ALL-426755,R-BTA-1483182;R-CEL-1483182;R-CFA-1483182;R-DDI-1483182;R-DME-1483182;R-DRE-1483182;R-GGA-1483182;R-HSA-1483182;R-MMU-1483182;R-RNO-1483182;R-SCE-1483182;R-SPO-1483182;R-SSC-1483182;R-XTR-1483182
58,1 PC + 1 L-Ser [cytosol] <=> 1 Cho [cytosol] + 1 PS,L_HGmodify,,R-ALL-426925 + R-ALL-200736 <=> R-ALL-264618 + R-ALL-1500646,R-BTA-1483186;R-CEL-1483186;R-CFA-1483186;R-DDI-1483186;R-DME-1483186;R-DRE-1483186;R-HSA-1483186;R-MMU-1483186;R-PFA-1483186;R-RNO-1483186;R-SSC-1483186
