,merged_reaction,reaction_type,reaction_notes,merged_ids,reaction_IDs
29,1 water + 1 PA  <=> 1 hydron + 1 LPA  + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:58608 <=> CHEBI:15378 + CHEBI:57970 + CHEBI:28868,RHEA:44420
30,2 dioxygen + 1 MAG 20:4 <=> 1 NEFA,L_FAdelete,,CHEBI:15379 + CHEBI:52392 <=> CHEBI:85165,RHEA:45288
31,1 water + 1 N-acyllysophosphatidylethanolamine(1-) <=> 1 hydron + 1 NEFA  + 1 NAE,,,CHEBI:15377 + CHEBI:85216 <=> CHEBI:15378 + CHEBI:28868 + CHEBI:85225,RHEA:45420
32,1 water + 1 NAE  <=> 1 hydron + 1 sn-glycerol 3-phosphate(2-) + 1 NAE,,,CHEBI:15377 + CHEBI:85230 <=> CHEBI:15378 + CHEBI:57597 + CHEBI:2700,RHEA:45428
33,1 water + 1 NAE  <=> 1 hydron + 1 sn-glycerol 3-phosphate(2-) + 1 NAE,,,CHEBI:15377 + CHEBI:85229 <=> CHEBI:15378 + CHEBI:57597 + CHEBI:71466,RHEA:45432
34,1 water + 1 NAE  <=> 1 hydron + 1 sn-glycerol 3-phosphate(2-) + 1 N-acylethanolamines,,,CHEBI:15377 + CHEBI:85225 <=> CHEBI:15378 + CHEBI:57597 + CHEBI:52640,RHEA:53160
35,1 water + 1 NAE  <=> 1 hydron + 1 sn-glycerol 3-phosphate(2-) + 1 NAE,,,CHEBI:15377 + CHEBI:85250 <=> CHEBI:15378 + CHEBI:57597 + CHEBI:85252,RHEA:45444
36,1 water + 1 N-acylphosphatidylethanolamine(1-) <=> 1 hydron + 1 N-acyllysophosphatidylethanolamine(1-) + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:62537 <=> CHEBI:15378 + CHEBI:85216 + CHEBI:28868,RHEA:45460
37,1 CDP-ethanolamine(1-) + 1 Cer  <=> 1 cytidine 5'-monophosphate(2-) + 1 hydron + 1 EPC,L_HGdelete,,CHEBI:57876 + CHEBI:83273 <=> CHEBI:60377 + CHEBI:15378 + CHEBI:73202,RHEA:45896
38,"2 iron(2+) + 1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (5Z,9Z,12Z)-octadecatrienoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88351 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88238 + CHEBI:15377,RHEA:46236
39,"2 iron(2+) + 1 palmitoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z,12E)-hexadecadienoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88261 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88262 + CHEBI:15377,RHEA:46240
40,"2 iron(2+) + 1 (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl derivative + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl derivative + 2 water",,,CHEBI:29033 + CHEBI:149499 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:149500 + CHEBI:15377,RHEA:63708
41,"2 iron(2+) + 1 (7Z,10Z,13Z,16Z)-docosatetraenoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88264 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88265 + CHEBI:15377,RHEA:46256
42,"2 iron(2+) + 1 (8Z,11Z,14Z)-icosatrienoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 1 arachidonoyl-containing glycerolipid + 2 iron(3+) + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:90076 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:90077 + CHEBI:29034 + CHEBI:15377,RHEA:46260
43,"2 iron(2+) + 1 omega-3-arachidonoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:90082 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:90083 + CHEBI:15377,RHEA:46264
44,"2 iron(2+) + 2 hydron + 1 dioxygen + 1 Cer  <=> 2 iron(3+) + 1 N-acyl-(4E,8E)-sphinga-4,8-dienine + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:15378 + CHEBI:15379 + CHEBI:52639 <=> CHEBI:29034 + CHEBI:85953 + CHEBI:15377,RHEA:46280
45,2 iron(2+) + 1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 1 gamma-linolenoyl-containing glycerolipid + 2 iron(3+) + 2 water,L_FAmodify,,CHEBI:29033 + CHEBI:88351 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:90081 + CHEBI:29034 + CHEBI:15377,RHEA:46284
46,"1 alpha-linolenoyl-containing glycerolipid + 2 iron(2+) + 2 hydron + 1 dioxygen <=> 1 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-containing glycerolipid + 2 iron(3+) + 2 water",L_FAmodify,,CHEBI:90078 + CHEBI:29033 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:90079 + CHEBI:29034 + CHEBI:15377,RHEA:46288
47,2 iron(2+) + 1 oleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 linoleoyl-containing glycerolipid + 2 water,L_FAmodify,,CHEBI:29033 + CHEBI:88240 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88351 + CHEBI:15377,RHEA:46332
48,"2 iron(2+) + 1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z,11E,13E)-octadecatrienoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88351 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88254 + CHEBI:15377,RHEA:46368
49,"1 alpha-linolenoyl-containing glycerolipid + 2 iron(2+) + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z,11E,13E,15Z)-octadecatetraenoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:90078 + CHEBI:29033 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88251 + CHEBI:15377,RHEA:46372
50,1 oleoyl-containing glycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 linoleoyl-containing glycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:88240 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:88351 + CHEBI:15377 + CHEBI:33737,RHEA:46376
51,2 iron(2+) + 1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 1 alpha-linolenoyl-containing glycerolipid + 2 iron(3+) + 2 water,L_FAmodify,,CHEBI:29033 + CHEBI:88351 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:90078 + CHEBI:29034 + CHEBI:15377,RHEA:46404
52,1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 alpha-linolenoyl-containing glycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:88351 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:90078 + CHEBI:15377 + CHEBI:33737,RHEA:46408
53,"1 (7Z,10Z)-hexadecadienoyl-containing glycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 (7Z,10Z,13Z)-hexadecatrienoyl-containing glycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+)",L_FAmodify,,CHEBI:88268 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:88269 + CHEBI:15377 + CHEBI:33737,RHEA:46412
54,"1 linoleoyl-containing glycerolipid + 1 hydrogen donor + 1 dioxygen <=> 1 hydrogen acceptor + 1 (8E,10E,12Z)-octadecatrienoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:88351 + CHEBI:17499 + CHEBI:15379 <=> CHEBI:13193 + CHEBI:88257 + CHEBI:15377,RHEA:46440
55,"2 iron(2+) + 1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z,11E,13Z)-octadeca-9,11,13-trienoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88351 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88259 + CHEBI:15377,RHEA:46532
56,"1 gamma-linolenoyl-containing glycerolipid + 2 iron(2+) + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z,12Z)-octadeca-9,12-dien-6-ynoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:90081 + CHEBI:29033 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88242 + CHEBI:15377,RHEA:46536
57,"1 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-containing glycerolipid + 2 iron(2+) + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z,12Z,15Z)-octadeca-9,12,15-trien-6-ynoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:90079 + CHEBI:29033 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88244 + CHEBI:15377,RHEA:46540
58,1 hydrogen donor + 1 dioxygen + 1 Cer 18:0 <=> 1 hydrogen acceptor + 2 water + 1 Cer,L_FAmodify,,CHEBI:17499 + CHEBI:15379 + CHEBI:31488 <=> CHEBI:13193 + CHEBI:15377 + CHEBI:52639,RHEA:36075
59,"2 iron(2+) + 1 N-acyl-(4E,8E)-sphinga-4,8-dienine + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 2 water + 1 N-acyl-(4E,8E,10E)-sphinga-4,8,10-trienine",L_FAmodify,,CHEBI:29033 + CHEBI:85953 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:15377 + CHEBI:86294,RHEA:46548
60,2 iron(2+) + 1 linoleoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (9Z)-octadec-9-en-12-ynoyl-containing glycerolipid + 2 water,L_FAmodify,,CHEBI:29033 + CHEBI:88351 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:88260 + CHEBI:15377,RHEA:46552
61,1 1-acyl-2-palmitoylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-acyl-2-[(7Z)-hexadec-7-enoyl]-glycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:86999 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87000 + CHEBI:15377 + CHEBI:33737,RHEA:46756
62,1 1-acyl-2-palmitoylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-acyl-2-[(3E)-hexadec-3-enoyl]-glycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:86999 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87002 + CHEBI:15377 + CHEBI:33737,RHEA:46764
63,1 1-acyl-2-palmitoylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-acyl-2-palmitoleoylglycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:86999 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87003 + CHEBI:15377 + CHEBI:33737,RHEA:46768
64,1 1-stearoyl 2-acylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-oleoyl-2-acylglycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:87007 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87008 + CHEBI:15377 + CHEBI:33737,RHEA:46772
65,1 1-oleoyl-2-acylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-linoleoyl-2-acylglycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:87008 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87010 + CHEBI:15377 + CHEBI:33737,RHEA:46776
66,1 1-linoleoyl-2-acylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-gamma-linolenoyl 2-acylglycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:87010 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87017 + CHEBI:15377 + CHEBI:33737,RHEA:46780
67,1 1-linoleoyl-2-acylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-alpha-linolenoyl 2-acylglycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+),L_FAmodify,,CHEBI:87010 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87023 + CHEBI:15377 + CHEBI:33737,RHEA:46784
68,"1 1-gamma-linolenoyl 2-acylglycerolipid + 2 hydron + 1 dioxygen + 2 di-mu-sulfido-diiron(1+) <=> 1 1-[(6Z,9Z,12Z,15Z)-octadec-6,9,12,15-tetraenoyl]-2-acylglycerolipid + 2 water + 2 di-mu-sulfido-diiron(2+)",L_FAmodify,,CHEBI:87017 + CHEBI:15378 + CHEBI:15379 + CHEBI:33738 <=> CHEBI:87024 + CHEBI:15377 + CHEBI:33737,RHEA:46788
69,"2 iron(2+) + 1 (11Z,14Z)-icosadienoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 (8Z,11Z,14Z)-icosatrienoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88252 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:90076 + CHEBI:15377,RHEA:46792
70,"2 iron(2+) + 1 (11Z,14Z,17Z)-icosatrienoyl-containing glycerolipid + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 omega-3-arachidonoyl-containing glycerolipid + 2 water",L_FAmodify,,CHEBI:29033 + CHEBI:88253 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:90082 + CHEBI:15377,RHEA:46796
71,"1 N-acyl-(4E,8E)-sphinga-4,8-dienine + 1 S-adenosyl-L-methionine zwitterion <=> 1 N-acyl-(4E,8E)-9-methylsphinga-4,8-dienine + 1 hydron + 1 S-adenosyl-L-homocysteine zwitterion",L_FAmodify,,CHEBI:85953 + CHEBI:59789 <=> CHEBI:87033 + CHEBI:15378 + CHEBI:57856,RHEA:46804
72,1 hexanoate ester + 1 water <=> 1 aliphatic alcohol + 1 hydron + 1 NEFA,,,CHEBI:87656 + CHEBI:15377 <=> CHEBI:2571 + CHEBI:15378 + CHEBI:17120,RHEA:47352
73,1 water + 1 octadecanoate ester <=> 1 aliphatic alcohol + 1 hydron + 1 NEFA,,,CHEBI:15377 + CHEBI:75925 <=> CHEBI:2571 + CHEBI:15378 + CHEBI:25629,RHEA:47396
74,1 UDP-alpha-D-galactose(2-) + 1 Cer  <=> 1 galactosylceramide + 1 hydron + 1 UDP(3-),L_HGdelete,,CHEBI:66914 + CHEBI:83273 <=> CHEBI:36498 + CHEBI:15378 + CHEBI:58223,RHEA:48344
75,1 2-saturated fatty acid anion + 1 hydrogen peroxide <=> 1 2-hydroxy fatty acid anion + 1 water,,,CHEBI:83955 + CHEBI:16240 <=> CHEBI:76176 + CHEBI:15377,RHEA:48360
76,"1 3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol + 1 water <=> 1 3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-monoacyl-sn-glycerol + 1 hydron + 1 NEFA ",L_FAdelete,,CHEBI:28396 + CHEBI:15377 <=> CHEBI:90310 + CHEBI:15378 + CHEBI:28868,RHEA:48372
77,"1 2,3-saturated fatty acid(1-) + 1 hydrogen peroxide <=> 1 3-hydroxy fatty acid anion + 1 water",,,CHEBI:76928 + CHEBI:16240 <=> CHEBI:84196 + CHEBI:15377,RHEA:48384
78,"1 water + 1 3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-1,2-bis(long-chain acyl)-sn-glycerol <=> 1 hydron + 1 3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-2-mono(long-chain acyl)-sn-glycerol + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:90463 <=> CHEBI:15378 + CHEBI:90469 + CHEBI:28868,RHEA:48440
79,"1 water + 1 3-(beta-D-galactosyl)-1,2-bis(long-chain acyl)-sn-glycerol <=> 1 hydron + 1 3-(beta-D-galactosyl)-2-mono(long-chain acyl)-sn-glycerol + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:90477 <=> CHEBI:15378 + CHEBI:90475 + CHEBI:28868,RHEA:48444
80,"1 water + 1 3-(beta-D-galactosyl)-1,2-bis(long-chain acyl)-sn-glycerol <=> 1 hydron + 1 3-(beta-D-galactosyl)mono(long-chain acyl)-sn-glycerol + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:90477 <=> CHEBI:15378 + CHEBI:90770 + CHEBI:28868,RHEA:48700
81,"1 water + 1 3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-1,2-bis(long-chain acyl)-sn-glycerol <=> 1 hydron + 1 3-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-mono(long-chain acyl)-sn-glycerol + 1 NEFA ",L_FAdelete,,CHEBI:15377 + CHEBI:90463 <=> CHEBI:15378 + CHEBI:90774 + CHEBI:28868,RHEA:48708
82,1 long-chain alkane + 1 FMNH2(2-) + 1 dioxygen <=> 1 long-chain fatty alcohol + 1 FMN(3-) + 1 hydron + 1 water,,,CHEBI:83563 + CHEBI:57618 + CHEBI:15379 <=> CHEBI:17135 + CHEBI:58210 + CHEBI:15378 + CHEBI:15377,RHEA:49060
83,1 N-acyl-L-alpha-amino acid anion + 1 water <=> 1 carboxylic acid anion + 1 L-alpha-amino acid zwitterion,,,CHEBI:59874 + CHEBI:15377 <=> CHEBI:29067 + CHEBI:59869,RHEA:15565
84,1 N-arachidonoylserotonin + 1 dioxygen + 1 FMNH2(2-) <=> 1 N-arachidonoyl-2-oxoserotonin + 1 hydron + 1 water + 1 FMN(3-),,,CHEBI:132255 + CHEBI:15379 + CHEBI:57618 <=> CHEBI:132256 + CHEBI:15378 + CHEBI:15377 + CHEBI:58210,RHEA:50296
85,2 iron(2+) + 2 hydron + 1 dioxygen + 1 Cer  <=> 2 iron(3+) + 2 water + 1 Cer 18:2,L_FAmodify,,CHEBI:29033 + CHEBI:15378 + CHEBI:15379 + CHEBI:52639 <=> CHEBI:29034 + CHEBI:15377 + CHEBI:139573,RHEA:63928
86,"1 sphinga-4E,14Z-dienine(1+) + 1 ACoA  <=> 1 coenzyme A(4-) + 1 hydron + 1 Cer 18:2",L_FAdelete,,CHEBI:83568 + CHEBI:58342 <=> CHEBI:57287 + CHEBI:15378 + CHEBI:139573,RHEA:63944
87,1 water + 1 CerP 17:1 <=> 1 hydrogenphosphate + 1 Cer,L_HGdelete,,CHEBI:15377 + CHEBI:84404 <=> CHEBI:43474 + CHEBI:83273,RHEA:50888
88,1 UDP-alpha-D-glucose(2-) + 1 Cer 17:1 <=> 1 hydron + 1 UDP(3-) + 1 HexCer 17:1,L_HGdelete,,CHEBI:58885 + CHEBI:70846 <=> CHEBI:15378 + CHEBI:58223 + CHEBI:70815,RHEA:34611
89,1 hydrogen donor + 1 dioxygen + 1 Cer 17:0 <=> 1 hydrogen acceptor + 2 water + 1 Cer 17:1,L_FAmodify,,CHEBI:17499 + CHEBI:15379 + CHEBI:70845 <=> CHEBI:13193 + CHEBI:15377 + CHEBI:70846,RHEA:34687
